Psilocybe semilanceata
Boletus edulis
Clitocybe nuda
Cortinarius caperatus
Craterellus cornucopioides
Gyromitra esculenta
Hericium erinaceus
Hydnum repandum
Lactarius deliciosus
Morchella conica var. deliciosa
Morchella esculenta var. rotunda
Tricholoma matsutake
Amanita caesarea
Armillaria mellea
Boletus badius
Chroogomphus rutilus
Calvatia gigantea
Calocybe gambosa
Coprinus comatus
Cyttaria espinosae
Cortinarius variicolor
Fistulina hepatica
Hygrophorus chrysodon
Auricularia auricula-judae
Lactarius salmonicolor
Lactarius subdulcis
Lactarius volemus
Laetiporus sulphureus
Leccinum aurantiacum
Leccinum scabrum
Lepiota procera
Macrolepiota procera
Polyporus squamosus
Polyporus mylittae
Rhizopogon luteolus
Sparassis crispa
Suillus bovinus
Suillus granulatus
Suillus luteus
Suillus tomentosus
Tricholoma terreum
Amanita muscaria
Coprinopsis atramentaria
Gyromitra esculenta
Verpa bohemica
